17700004012603522-201G6433997B,,,R70,,R2,,C158,,R69,,R3,,IC8,,IC3,,D11,,L5,,C150,,C100,
17700001012603522-201G6433997B,2020/07/20 12:07:43,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001022603522-202G6433997B,2020/07/20 12:07:43,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001032603522-203G6433997B,2020/07/20 12:07:43,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001042603522-204G6433997B,2020/07/20 12:07:43,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001052603522-201G6433997B,2020/07/20 12:09:09,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001062603522-202G6433997B,2020/07/20 12:09:09,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001072603522-203G6433997B,2020/07/20 12:09:09,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001082603522-204G6433997B,2020/07/20 12:09:09,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001092603522-201G6433997B,2020/07/20 12:09:49,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001102603522-202G6433997B,2020/07/20 12:09:49,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001112603522-203G6433997B,2020/07/20 12:09:49,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001122603522-204G6433997B,2020/07/20 12:09:49,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001132603522-201G6433997B,2020/07/20 12:10:30,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001142603522-202G6433997B,2020/07/20 12:10:30,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001152603522-203G6433997B,2020/07/20 12:10:30,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001162603522-204G6433997B,2020/07/20 12:10:30,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001172603522-201G6433997B,2020/07/20 12:11:10,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001182603522-202G6433997B,2020/07/20 12:11:10,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001192603522-203G6433997B,2020/07/20 12:11:10,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001202603522-204G6433997B,2020/07/20 12:11:10,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001212603522-201G6433997B,2020/07/20 12:11:41,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001222603522-202G6433997B,2020/07/20 12:11:41,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001232603522-203G6433997B,2020/07/20 12:11:41,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001242603522-204G6433997B,2020/07/20 12:11:41,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001252603522-201G6433997B,2020/07/20 12:12:54,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001262603522-202G6433997B,2020/07/20 12:12:54,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001272603522-203G6433997B,2020/07/20 12:12:54,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001282603522-204G6433997B,2020/07/20 12:12:54,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001292603522-201G6433997B,2020/07/20 12:13:35,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001302603522-202G6433997B,2020/07/20 12:13:35,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001312603522-203G6433997B,2020/07/20 12:13:35,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001322603522-204G6433997B,2020/07/20 12:13:35,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001332603522-201G6433997B,2020/07/20 12:14:06,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001342603522-202G6433997B,2020/07/20 12:14:06,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001352603522-203G6433997B,2020/07/20 12:14:06,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001362603522-204G6433997B,2020/07/20 12:14:06,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001372603522-201G6433997B,2020/07/20 12:15:18,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001382603522-202G6433997B,2020/07/20 12:15:18,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001392603522-203G6433997B,2020/07/20 12:15:18,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001402603522-204G6433997B,2020/07/20 12:15:18,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001412603522-201G6433997B,2020/07/20 12:15:59,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001422603522-202G6433997B,2020/07/20 12:15:59,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001432603522-203G6433997B,2020/07/20 12:15:59,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001442603522-204G6433997B,2020/07/20 12:15:59,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001452603522-201G6433997B,2020/07/20 12:16:30,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001462603522-202G6433997B,2020/07/20 12:16:30,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001472603522-203G6433997B,2020/07/20 12:16:30,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001482603522-204G6433997B,2020/07/20 12:16:30,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001492603522-201G6433997B,2020/07/20 12:17:43,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001502603522-202G6433997B,2020/07/20 12:17:43,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001512603522-203G6433997B,2020/07/20 12:17:43,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001522603522-204G6433997B,2020/07/20 12:17:43,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001532603522-201G6433997B,2020/07/20 12:18:15,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001542603522-202G6433997B,2020/07/20 12:18:15,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001552603522-203G6433997B,2020/07/20 12:18:15,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001562603522-204G6433997B,2020/07/20 12:18:15,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001572603522-201G6433997B,2020/07/20 12:19:18,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001582603522-202G6433997B,2020/07/20 12:19:18,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001592603522-203G6433997B,2020/07/20 12:19:18,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001602603522-204G6433997B,2020/07/20 12:19:18,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001612603522-201G6433997B,2020/07/20 12:20:30,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001622603522-202G6433997B,2020/07/20 12:20:30,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001632603522-203G6433997B,2020/07/20 12:20:30,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001642603522-204G6433997B,2020/07/20 12:20:30,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001652603522-201G6433997B,2020/07/20 12:21:11,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001662603522-202G6433997B,2020/07/20 12:21:11,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001672603522-203G6433997B,2020/07/20 12:21:11,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001682603522-204G6433997B,2020/07/20 12:21:11,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001692603522-201G6433997B,2020/07/20 12:21:42,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001702603522-202G6433997B,2020/07/20 12:21:42,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001712603522-203G6433997B,2020/07/20 12:21:42,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001722603522-204G6433997B,2020/07/20 12:21:42,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001732603522-201G6433997B,2020/07/20 12:22:57,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001742603522-202G6433997B,2020/07/20 12:22:57,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001752603522-203G6433997B,2020/07/20 12:22:57,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001762603522-204G6433997B,2020/07/20 12:22:57,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001772603522-201G6433997B,2020/07/20 12:23:37,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001782603522-202G6433997B,2020/07/20 12:23:37,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001792603522-203G6433997B,2020/07/20 12:23:37,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001802603522-204G6433997B,2020/07/20 12:23:37,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700001812603522-201G6433997B,2020/07/20 12:24:12,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
