17700004012603522-201G6433997B,,,R70,,R2,,C158,,R69,,R3,,IC8,,IC3,,D11,,L5,,C150,,C100,
17700004692603522-201G6433997B,2020/07/20 11:18:46,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004702603522-202G6433997B,2020/07/20 11:18:46,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004712603522-203G6433997B,2020/07/20 11:18:46,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004722603522-204G6433997B,2020/07/20 11:18:46,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004732603522-201G6433997B,2020/07/20 11:19:17,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004742603522-202G6433997B,2020/07/20 11:19:17,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004752603522-203G6433997B,2020/07/20 11:19:17,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004762603522-204G6433997B,2020/07/20 11:19:17,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004772603522-201G6433997B,2020/07/20 11:21:54,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004782603522-202G6433997B,2020/07/20 11:21:54,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
